Order ID,Order Date, Unit Cost, Unit Price,Order Qty,Channel,Promotion Name,Product Name,Product Sub Category,Product Category,State,Zone
7077,3/18/2013, 76.09 , 304.00 ,9,Store,New Year Promotion,Kekule SLR Camera M143 Grey,Digital SLR Cameras,Cameras and camcorders ,Imo,South East
117,2/23/2012, 7.49 , 12.99 ,8,Store,New Year Promotion,Kekule 512MB MP3 Player E51 Blue,MP4&MP3,Audio,Imo,South East
7018,1/11/2012, 10.12 , 159.99 ,9,Store,New Year Promotion,Kekule DVD 9-Inch Player Portable M300 Silver,Movie DVD,"Music, Movies and Audio Books",Imo,South East
140,2/13/2014, 0.58 , 25.69 ,18,Store,Deeper Promotion,NT Bluetooth Stereo Headphones E52 Pink,Bluetooth Headphones,Audio,Delta,South South
491,1/17/2013, 108.51 , 304.00 ,9,Online,Hammartan Promotion,Kekule SLR Camera M143 Grey,Digital SLR Cameras,Cameras and camcorders ,Kwara,North Central
58,4/6/2014, 77.99 , 299.00 ,24,Online,Easter Promotion,SV Car Video TFT7 M7000 Silver,Car Video,TV and Video,Kwara,North Central
7085,8/27/2014, 154.99 , 699.00 ,10,Online,No Discount,Simpson Laptop15 M1501 Red,Laptops,Computers,Kwara,North Central
929,9/15/2012, 96.45 , 178.00 ,5,Online,No Discount,Fabrikam Social Videographer 1/2'' 3mm E300 White,Camcorders,Cameras and camcorders ,Kwara,North Central
1527,12/29/2012, 227.40 , 310.00 ,13,Online,Xmas Holiday Promotion,The Phone Company Smart phones Unlocked International M800 Gold,Smart phones & PDAs ,Cell phones,Kwara,North Central
7264,7/21/2013, 158.65 , 299.00 ,30,Online,No Discount,The Phone Company PDA Phone 3.5 inches M320 Silver,Smart phones & PDAs ,Cell phones,Kwara,North Central
1471,2/24/2012, 346.63 , 763.51 ,18,Online,Hammartan Promotion,"Simpson 42"" LCD HDTV M55 Black",Televisions,TV and Video,Kwara,North Central
845,6/17/2013, 192.84 , 588.00 ,24,Online,No Discount,"A. Datum SLR Camera 35"" X358 Gold",Digital SLR Cameras,Cameras and camcorders ,Kwara,North Central
7144,6/16/2013, 50.30 , 95.95 ,24,Online,No Discount,Kekule 4GB Portable MP3 Player M450 Yellow,MP4&MP3,Audio,Kwara,North Central
1160,8/22/2012, 181.82 , 299.23 ,10,Online,No Discount,Kekule 8GB Clock & Radio MP3 Player X850 Silver,MP4&MP3,Audio,Kwara,North Central
619,6/19/2013, 144.30 , 299.23 ,12,Online,No Discount,Kekule 8GB Clock & Radio MP3 Player X850 Green,MP4&MP3,Audio,Kwara,North Central
625,7/13/2014, 13.04 , 159.00 ,20,Online,No Discount,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Printers, Scanners & Fax",Computers,Kwara,North Central
523,11/17/2014, 79.64 , 199.95 ,26,Online,Xmas Holiday Promotion,WWI 2GB Pulse Smart pen M100 Blue,Recording Pen,Audio,Kwara,North Central
879,6/8/2014, 162.91 , 296.00 ,6,Online,No Discount,WWI 4GB Video Recording Pen X200 Red,Recording Pen,Audio,Kwara,North Central
7409,6/6/2013, 153.08 , 296.00 ,12,Online,No Discount,WWI 4GB Video Recording Pen X200 Yellow,Recording Pen,Audio,Kwara,North Central
1170,9/4/2014, 108.24 , 156.00 ,20,Online,No Discount,WWI 1GB Digital Voice Recorder Pen E100 Black,Recording Pen,Audio,Kwara,North Central
